fsc,chl,pe,color,time
-0.401228,-0.368359,-0.616871,red,0,
2.257984,2.246162,0.368047,blue,0,
-0.222944,-0.359351,0.366502,red,0,
2.265909,2.362045,0.352500,blue,1,
-0.241098,-0.387683,0.385244,red,1,
-0.405902,-0.385024,-0.673707,red,1,
2.041681,2.036965,-0.056224,blue,2,
-0.222114,-0.366600,-0.263475,red,2,
2.683889,3.167153,3.570694,blue,2,
2.402419,2.500737,3.806047,blue,3,
-0.204528,-0.360016,-0.252650,red,3,
2.027667,2.028057,-0.060294,blue,3,
2.058617,2.081683,-0.048431,blue,4,
-0.175157,-0.361852,-0.258068,red,4,
2.688994,2.919770,3.868879,blue,4,
2.682372,2.890350,3.920135,blue,5,
-0.155262,-0.354804,-0.245234,red,5,
2.045696,2.044261,-0.046255,blue,5,
2.071215,2.069302,-0.070383,blue,6,
-0.167970,-0.360308,-0.239019,red,6,
2.668156,2.722733,3.126616,blue,6,
-0.131587,-0.350767,-0.228919,red,7,
2.088291,2.050172,0.005745,blue,7,
2.767200,2.872000,4.805846,green,7,
2.122111,1.986778,0.162556,blue,8,
-0.033208,-0.375083,-0.261375,red,8,
2.590000,1.983333,5.495000,blue,8,
-0.390153,-0.374186,-0.403151,red,9,
2.419322,2.424558,0.484748,blue,9,
0.372655,-0.317974,0.537285,red,9,
-0.200094,-0.360738,-0.186256,red,10,
2.402330,2.312004,0.280174,blue,10,
2.369422,1.874621,5.633646,blue,10,
-0.233845,-0.362445,-0.160391,red,11,
2.411102,2.338686,0.302805,blue,11,
2.119041,1.617123,6.651187,green,11,
-0.241714,-0.364576,-0.158189,red,12,
2.398132,2.270764,0.449423,blue,12,
2.434706,2.136471,10.343529,green,12,
2.405482,2.329114,0.550060,blue,13,
-0.267121,-0.345149,-0.094698,red,13,
2.898776,1.596122,18.304082,green,13,
-0.240802,-0.347663,-0.102772,red,14,
2.420206,2.408544,0.544846,blue,14,
2.687097,1.860645,16.873226,green,14,
-0.244064,-0.349897,-0.099475,red,15,
2.574000,1.608000,16.551000,green,15,
2.324295,2.288121,0.311879,blue,15,
-0.308708,-0.344423,0.640393,red,16,
-0.360292,-0.346652,-0.417582,red,16,
2.353802,2.493870,0.586982,blue,16,
-0.362756,-0.336119,-0.394958,red,17,
2.341489,2.461823,0.619918,blue,17,
-0.304451,-0.332550,0.681034,red,17,
-0.373903,-0.340712,-0.427809,red,18,
2.366567,2.436592,0.736398,blue,18,
-0.328596,-0.339279,0.607270,red,18,
2.312828,2.381679,0.429144,blue,19,
-0.364871,-0.340206,-0.081788,red,19,
2.351139,2.157089,8.883038,green,19,
-0.398211,-0.340792,-0.421960,red,20,
2.360251,2.499323,0.654037,blue,20,
-0.313387,-0.327610,0.614824,red,20,
-0.340307,-0.336568,0.651505,red,21,
2.369635,2.448541,0.601422,blue,21,
-0.398879,-0.354337,-0.418308,red,21,
-0.333766,-0.327274,0.656291,red,22,
-0.416556,-0.346381,-0.407982,red,22,
2.334225,2.409578,0.711192,blue,22,
-0.343256,-0.328868,0.582774,red,23,
2.365775,2.493963,0.756585,blue,23,
-0.423930,-0.342055,-0.431354,red,23,
-0.413445,-0.338514,-0.451565,red,24,
-0.365449,-0.341105,0.568670,red,24,
2.314419,2.374261,0.710904,blue,24,
-0.404442,-0.352695,-0.112955,red,25,
2.290676,2.371081,0.647838,blue,25,
2.796000,2.120000,12.410000,green,25,
-0.394749,-0.339575,-0.089228,red,26,
4.110000,1.085000,8.555000,green,26,
1.983333,1.802000,0.796667,blue,26,
-0.452040,-0.366140,-0.191427,red,27,
2.158020,2.321608,0.224279,blue,27,
1.580821,1.271343,6.080597,blue,27,
-0.473555,-0.365269,-0.210804,red,28,
2.163553,2.350306,0.147800,blue,28,
1.505938,1.267200,5.328892,blue,28,
-0.467613,-0.364237,-0.206098,red,29,
2.143785,2.335030,0.132950,blue,29,
1.501424,1.242152,5.348006,blue,29,
-0.451447,-0.362964,-0.217206,red,30,
2.113513,2.336888,0.123832,blue,30,
1.488362,1.229556,5.443038,blue,30,
1.347220,1.002854,5.247561,blue,31,
-0.415394,-0.361814,-0.221825,red,31,
2.108852,2.393780,0.137722,blue,31,
-0.373170,-0.363203,-0.220022,red,32,
2.089245,2.374553,0.148020,blue,32,
1.394072,1.149521,5.437635,blue,32,
2.067658,2.389834,0.151139,blue,33,
-0.349489,-0.353118,-0.214905,red,33,
1.374105,1.145868,5.385730,blue,33,
-0.373879,-0.360459,-0.209344,red,34,
2.065062,2.381501,0.140876,blue,34,
1.377965,1.162950,5.344897,blue,34,
1.415296,1.129704,5.564342,blue,35,
-0.372993,-0.358002,-0.199918,red,35,
2.061513,2.327252,0.149097,blue,35,
-0.366547,-0.353745,-0.194479,red,36,
2.050800,2.367905,0.147980,blue,36,
1.198317,0.925556,5.503937,blue,36,
-0.366900,-0.368318,-0.212817,red,37,
2.139710,2.407101,0.254058,blue,37,
1.704000,1.097000,5.613000,blue,37,
-0.356084,-0.354655,-0.169960,red,38,
2.086753,2.397169,0.223082,blue,38,
1.500126,1.144780,5.406415,blue,38,
1.811474,1.594582,5.981912,blue,39,
-0.291247,-0.345457,-0.132136,red,39,
2.248197,2.604861,0.413420,blue,39,
-0.276194,-0.341556,-0.106044,red,40,
2.305644,2.682681,0.461693,blue,40,
1.773165,1.332374,6.590719,blue,40,
-0.279826,-0.339673,-0.103895,red,41,
2.333168,2.687643,0.487823,blue,41,
1.681935,1.290184,5.865622,blue,41,
-0.271907,-0.339561,-0.091652,red,42,
2.308839,2.750029,0.458788,blue,42,
1.973094,1.689856,5.860000,blue,42,
2.393061,2.813682,0.608470,blue,43,
-0.254405,-0.333159,-0.083264,red,43,
1.883712,1.585227,6.205795,blue,43,
1.791969,1.638268,6.390512,blue,44,
-0.254188,-0.334973,-0.069960,red,44,
2.313761,2.727054,0.542472,blue,44,
-0.267082,-0.333667,-0.059647,red,45,
2.325134,2.824031,0.544525,blue,45,
1.761964,1.531161,6.253750,blue,45,
1.720956,1.664980,6.389323,blue,46,
-0.291837,-0.340047,-0.045815,red,46,
2.318103,2.774968,0.521090,blue,46,
1.469120,1.178843,6.283611,blue,47,
-0.298502,-0.336484,-0.044735,red,47,
2.313888,2.764279,0.520161,blue,47,
2.269932,2.622951,0.495478,blue,48,
-0.307530,-0.340577,-0.029345,red,48,
1.625564,1.550817,6.418833,blue,48,
-0.328985,-0.341888,-0.014659,red,49,
2.267226,2.673875,0.482645,blue,49,
1.746592,1.468015,6.190487,blue,49,
-0.329727,-0.341875,-0.003660,red,50,
2.218967,2.638194,0.478713,blue,50,
1.614191,1.417096,6.360551,blue,50,
-0.346371,-0.345778,-0.004078,red,51,
2.130159,2.573022,0.382206,blue,51,
1.465749,1.250489,6.078471,blue,51,
-0.359857,-0.342640,0.006393,red,52,
2.112777,2.509982,0.379861,blue,52,
1.400273,1.077131,5.784372,blue,52,
-0.364744,-0.347600,-0.003244,red,53,
2.084753,2.427350,0.361933,blue,53,
1.385231,1.043796,5.812593,blue,53,
-0.357298,-0.345499,-0.008497,red,54,
2.082176,2.396230,0.343058,blue,54,
1.333846,1.016213,5.829704,blue,54,
-0.348817,-0.347059,-0.007200,red,55,
2.127750,2.519065,0.376216,blue,55,
1.398732,1.123662,6.034718,blue,55,
-0.328473,-0.339142,0.031048,red,56,
1.531438,1.260822,5.704178,blue,56,
2.183247,2.513763,0.455569,blue,56,
-0.334721,-0.344306,0.026266,red,57,
1.563933,1.209400,6.336600,blue,57,
2.130924,2.480962,0.417638,blue,57,
2.085810,2.454984,0.338046,blue,58,
-0.359479,-0.347843,-0.001007,red,58,
1.460461,1.199013,5.627237,blue,58,
-0.391745,-0.353817,-0.030555,red,59,
2.066027,2.373707,0.320160,blue,59,
1.233214,1.023571,5.892187,blue,59,
-0.404521,-0.359617,-0.057826,red,60,
2.037742,2.324886,0.248163,blue,60,
1.137778,0.922926,5.718963,blue,60,
2.073778,2.351222,0.256510,blue,61,
1.251918,0.920719,5.606096,blue,61,
-0.380194,-0.355762,-0.052773,red,61,
1.209164,0.921517,5.418359,blue,62,
2.102202,2.373998,0.295641,blue,62,
-0.351559,-0.353434,-0.068748,red,62,
1.227039,0.988914,5.461020,blue,63,
2.149098,2.445712,0.318270,blue,63,
-0.343603,-0.361627,-0.090174,red,63,
-0.341411,-0.352022,-0.088987,red,64,
1.352602,0.995047,5.420000,blue,64,
2.170194,2.493453,0.329767,blue,64,
-0.361324,-0.358515,-0.109276,red,65,
2.135578,2.462141,0.279618,blue,65,
1.198776,0.894932,5.327109,blue,65,
-0.385998,-0.356304,-0.112549,red,66,
2.118855,2.398460,0.271728,blue,66,
1.214000,0.909250,5.550542,blue,66,
-0.403662,-0.356448,-0.118506,red,67,
2.087010,2.356523,0.224917,blue,67,
1.211471,0.961569,5.812353,blue,67,
-0.389718,-0.354895,-0.108687,red,68,
2.096467,2.386467,0.227382,blue,68,
1.419841,1.106455,5.189788,blue,68,
-0.363211,-0.355412,-0.115367,red,69,
2.139142,2.409342,0.271742,blue,69,
1.344309,0.909468,5.277713,blue,69,
-0.340867,-0.352367,-0.129665,red,70,
1.251210,0.905565,5.462984,blue,70,
2.131573,2.430793,0.283758,blue,70,
-0.322267,-0.307378,-0.091111,red,71,
2.102553,2.542128,0.188936,blue,71,
0.885000,0.663333,5.301667,blue,71,
1.859286,2.090000,0.279286,blue,72,
-0.392602,-0.331138,-0.141138,red,72,
1.490000,0.950000,5.395000,blue,72,
2.172424,2.330606,0.474848,blue,73,
-0.398644,-0.364873,-0.172839,red,73,
1.291667,0.600000,5.463333,blue,73,
-0.347083,-0.348708,-0.204667,red,74,
2.202667,2.024000,0.354000,blue,74,
1.640000,1.452857,5.258571,blue,74,
-0.398376,-0.356453,-0.203590,red,75,
2.076923,2.480769,-0.028718,blue,75,
0.867500,0.735000,4.162500,blue,75,
-0.370789,-0.367982,-0.166009,red,76,
1.918889,2.085556,0.113889,blue,76,
1.721250,1.956250,5.437500,blue,76,
-0.318565,-0.310169,-0.048776,red,77,
2.131667,2.597000,0.098000,blue,77,
2.618000,2.906000,6.604000,green,77,
0.235366,-0.167317,1.156098,red,78,
1.946667,2.414359,0.215128,blue,78,
-0.447411,-0.355838,-0.359695,red,78,
-0.014182,-0.294000,1.020727,red,79,
2.063000,2.474250,0.410000,blue,79,
-0.420104,-0.353750,-0.356406,red,79,
-0.417615,-0.341590,-0.179749,red,80,
2.079118,2.318529,0.345000,blue,80,
1.026667,0.786667,5.316667,blue,80,
-0.416071,-0.331607,-0.209464,red,81,
0.805000,-0.095000,1.695833,red,81,
2.101429,2.436429,0.124286,blue,81,
-0.322575,-0.322833,-0.243948,red,82,
2.147222,2.035278,0.273056,blue,82,
1.204286,0.564286,4.298571,blue,82,
-0.417382,-0.369056,-0.190472,red,83,
2.167714,2.163714,0.228857,blue,83,
1.000000,0.676250,5.228750,blue,83,
-0.338952,-0.329194,-0.106250,red,84,
3.890000,4.130000,26.460000,green,84,
1.939630,2.158519,0.763704,blue,84,
2.148148,2.837037,0.471852,blue,85,
-0.312561,-0.333902,-0.122520,red,85,
1.953333,0.576667,5.730000,blue,85,
-0.256255,-0.333830,-0.102085,red,86,
2.216897,2.748966,0.280000,blue,86,
1.559167,0.473333,5.045000,blue,86,
-0.319020,-0.386471,-0.033922,red,87,
2.750000,3.185000,7.245000,green,87,
2.036667,2.270000,0.385000,blue,87,
